Lead_ID,App_Engagement_Mins,Web_Configurator_Status,Test_Drive_Completed,Last_Contact_Days,Lead_Source,Purchase
75efda40,35.90519084803855,0,0,31,Referral,0
1d713dd3,22.416970953233815,1,0,14,Social Media,0
c4ce3256,20.734253765564304,0,0,12,Web Search,0
24c1931f,20.73453441497701,0,0,4,Walk-in,1
c1494202,,1,0,74,Web Search,0
17a8960e,43.000593464463336,0,0,73,Social Media,0
128a04af,16.966170026113485,0,0,51,Web Search,0
fc4cc2bc,37.0472171014682,0,0,76,Social Media,0
986d1370,29.984403960969704,0,1,40,Walk-in,0
71d0f98c,3.238724152358781,0,0,52,Web Search,0
6b2f3727,10.068634240315594,1,0,49,Web Search,0
fa85e10e,31.592484560222452,0,1,14,Social Media,0
dbe42a64,65.47765301225293,0,1,6,Social Media,1
0499ec5a,20.877782774387192,1,0,39,Referral,0
0681eb6b,15.870411585814555,1,0,27,Social Media,0
4b479b7b,27.210113122082486,0,0,31,Social Media,0
3863e014,15.079267210771464,0,0,14,Referral,0
0a3eb534,,0,0,84,Social Media,0
bba08b77,24.73953718410397,0,0,69,Social Media,0
157174fc,9.602059572658254,0,0,64,Referral,0
6853f949,44.55090141319709,0,0,3,Walk-in,1
db39ecb0,8.027721694185601,1,0,10,Walk-in,0
11c846a7,7.091901657520101,0,0,25,Social Media,0
96f3b099,29.009256268322023,0,0,60,Social Media,0
52336690,42.20030711968576,0,0,36,Referral,0
fcf11cd2,28.467533615356057,0,0,22,Referral,0
175a858d,22.826687656269012,0,1,84,Walk-in,0
ced5cea7,19.610721524752115,0,0,39,Web Search,0
faaf86d8,,1,0,76,Social Media,0
0650f7ab,51.56698950779174,0,0,22,Web Search,0
22866917,31.815659090848833,0,0,15,Web Search,0
54de4bce,18.259782204879812,0,1,60,Referral,0
9c098bdb,14.049097939673358,0,0,67,Social Media,0
99b583c7,,0,0,79,Social Media,0
c26ffff8,50.75162510103326,0,0,30,Referral,0
275e15dc,47.718146727043326,0,0,52,Web Search,0
d48f09d8,12.015705723170205,0,0,24,Referral,0
e35f726d,19.477467019314364,1,0,43,Walk-in,0
7bcf029d,,1,0,11,Social Media,0
6acec883,21.57432173678983,1,0,89,Walk-in,0
1fc28302,44.266327850448846,1,0,8,Referral,1
12bff1fc,61.533936858108156,0,1,11,Social Media,1
84d5887a,32.67730710462748,1,0,68,Walk-in,0
69cd1221,14.472669346383258,0,0,53,Walk-in,0
1a1714e8,24.312629473333562,1,0,53,Unknown_Source_999,0
93daa19a,69.18809302610377,1,1,27,Social Media,1
1abb35e4,26.723829023307793,1,0,55,Walk-in,1
461fd47e,19.645270538633657,1,0,68,Walk-in,1
5caae5d2,20.98278917701918,0,0,76,Web Search,0
8f8e5393,32.572700460720185,0,0,57,Walk-in,0
e7a8c9ae,12.38447601757894,0,0,77,Walk-in,0
